ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
29606,variation,IF-R01-23M01C03-T5,8433856084894,Polera Spirit Red - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C03,,,,,,3,8433856084894,The Indian Face,The Indian Face,Talla,L,,1,
29640,variation,IF-R01-23M01C04-T5,8433856085006,Polera Spirit Blue - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C04,,,,,,3,8433856085006,The Indian Face,The Indian Face,Talla,L,,1,
29651,variation,IF-R01-23M01C05-T5,8433856085112,Polera Spirit Navy Blue - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,10,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M01C05,,,,,,3,8433856085112,The Indian Face,The Indian Face,Talla,L,,1,
29664,variation,IF-R01-23M03C01-T6,8433856085594,Polera Nomad White - XL,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C01,,,,,,3,8433856085594,The Indian Face,The Indian Face,Talla,XL,,1,
29675,variation,IF-R01-23M03C02-T6,8433856085655,Polera Nomad Blue - XL,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,2,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C02,,,,,,3,8433856085655,The Indian Face,The Indian Face,Talla,XL,,1,
29685,variation,IF-R01-23M03C03-T5,8433856085709,Polera Nomad Navy - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,10,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M03C03,,,,,,3,8433856085709,The Indian Face,The Indian Face,Talla,L,,1,
29698,variation,IF-R01-23M04C01-T6,8433856085778,Polera Born to be Free White - XL,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M04C01,,,,,,3,8433856085778,The Indian Face,The Indian Face,Talla,XL,,1,
29707,variation,IF-R01-23M04C03-T5,8433856085884,Polera Born to be Free Red - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,32990,,,,,,,IF-R01-23M04C03,,,,,,3,8433856085884,The Indian Face,The Indian Face,Talla,L,,1,
29719,variation,IF-R02-23M01C01-T5,8433856086324,Poleron Sweatshirt Spirit White - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,6,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M01C01,,,,,,3,8433856086324,The Indian Face,The Indian Face,Talla,L,,1,
29727,variation,IF-R02-23M01C04-T5,,Poleron Sweatshirt Spirit Blue - L,1,0,visible,,,,2026-04-16 23:59:59,taxable,parent,1,4,,0,0,,,,,0,,,69990,,,,,,,IF-R02-23M01C04,,,,,,3,8433856086638,The Indian Face,The Indian Face,Talla,L,,1,
