ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior
20104,variable,WFS2010CNV-ATM,Botas Commando Desert Mujer Verde Musgo,,,1,"Invierno, Verde, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
19603,variable,WRO1345WAP-BLK,Chaqueta Impermeable Mujer Black,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
19606,variable,MRO4245WAP-DOV,Chaqueta Impermeable Hombre Olive Green,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Chaquetas, Género, Género > Hombre, Tipo de producto",Hunter,Hunter,
19604,variable,WRO1345WAP-DOV,Chaqueta Impermeable Mujer Olive Green,,,1,"Impermeables, Invierno, Verde, Ofertas","Tipo de producto > Chaquetas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18588,variable,UZF3003LSK-NTR,Plantilla Luxury Shearling,,,1,"Invierno, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Plantilla, Tipo de producto",Hunter,Hunter,
19605,variable,MRO4245WAP-BLK,Chaqueta Impermeable Hombre Black,,,1,"Impermeables, Invierno, Ofertas","Tipo de producto > Chaquetas, Género, Género > Hombre, Tipo de producto",Hunter,Hunter,
18923,variable,UAS3036AAB-GZB,Hunter Calcetín Bota 6 Puntadas,,,1,"Hunter, Invierno, Mujer, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
19559,simple,UZG7001MAR-RYL,Llavero Mochila Hunter Amarilla,4194,6990,1,Ofertas,"Tipo de producto > Accesorios, Tipo de producto",Hunter,Hunter,
19560,simple,UZG7001MAR-MLR,Llavero Mochila Hunter Roja,4194,6990,1,Ofertas,"Tipo de producto > Accesorios, Tipo de producto",Hunter,Hunter,
19561,simple,UZG7001MAR-HGR,Llavero Mochila Hunter Verde,4194,6990,1,Ofertas,"Tipo de producto > Accesorios, Tipo de producto",Hunter,Hunter,
19490,simple,UAH3345WXA-BLK,Gorro Original de Lana Negro,14994,24990,1,"Invierno, winter-style, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Gorros, Tipo de producto",Hunter,Hunter,
20272,variable,WFS1020RMA-ATM,Botas de Agua Bajas Play Neopreno Verde Musgo Mujer,,,1,"Impermeables, Verde, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
18924,variable,UAS3036AAB-NWH,HUNTER CALCETIN BOTA 6 PUNTADAS,,,1,"Invierno, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
19562,simple,UZG7000MAR-MLR,Llavero Bota Hunter Roja,4194,6990,1,Ofertas,"Tipo de producto > Accesorios, Tipo de producto",Hunter,Hunter,
18555,variable,UAS3036AAB-BLK,Hunter Calcetín Bota 6 Puntadas 1,,,1,"Hunter, Invierno, Mujer, Ofertas","Tipo de producto > Accesorios, Tipo de producto > Accesorios > Calcetín, Tipo de producto",Hunter,Hunter,
19274,simple,UZC4010XXX-CLR,HUNTER REPARADOR GOMA BO MISCEL,7794,12990,1,Ofertas,"Tipo de producto > Accesorios, Género, Género > Hombre, Género > Mujer, Género > Niño, Tipo de producto, Género > Unisex",Hunter,Hunter,
19273,simple,UZC4007XXX-CLR,HUNTER RUBBER CARE KIT,13194,21990,1,Ofertas,"Tipo de producto > Accesorios, Género, Género > Hombre, Género > Mujer, Género > Niño, Tipo de producto, Género > Unisex",Hunter,Hunter,
20981,variable,WFF1100REN-SSH,"Zapatillas Deportivas Travel - Mujer White, Green & Coral",,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
21012,variable,WFF1100REN-BSH,Zapatillas Deportivas Travel - Mujer Black Shaded White,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
20988,variable,WFF1100REN-SSA,Zapatillas Deportivas Travel - Mujer Shaded White,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
24468,variable,MFF9100REN-SED,Zapatillas Deportivas Travel - Hombre Shaded White,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Hombre, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
24825,variable,WFF1100REN-VPY,Zapatillas Deportivas Travel - Mujer - Red,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
21003,variable,WFF1100REN-RCG,Zapatillas Deportivas Travel - Mujer Red Tang,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
20930,variable,WFF1100REN-BLK,Zapatillas Deportivas Travel - Mujer - Black,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Mujer, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
20273,variable,WFS1020RMA-BLK,Botas de Agua Bajas Play Neopreno Black Mujer,,,1,"Impermeables, Verde, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
24812,variable,MFF9100REN-LTB,Zapatillas Deportivas Travel - Hombre Verde Musgo,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Hombre, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
20920,variable,MFF9100REN-ZSB,Zapatillas Deportivas Travel - Hombre Zesty Yellow,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Hombre, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
20911,variable,MFF9100REN-BLK,Zapatillas Deportivas Travel - Hombre Black,,,1,"Deportivas, Hunter, Zapatillas, Ofertas","Calzado, Género, Género > Hombre, Tipo de producto, Tipo de producto > Zapatillas",Hunter,,
24458,variable,MFK1000PTP-BLK,Zapatilla Travel Trainer Black Hombre,,,1,"Black, Hunter, Negro, Zapatillas, Ofertas","Género, Género > Hombre, Tipo de producto, Tipo de producto > Zapatillas",Hunter,Hunter,
20401,variable,WFS2236NYL-MRF,Botas Commando Explorer Aislantes Para Mujer Berry,,,1,"Cyber, Outdoor, Trekking, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
20400,variable,WFS2236NYL-BLK,Botas Commando Explorer Aislantes Para Mujer Negro,,,1,"Cyber, Outdoor, Trekking, Ofertas","Tipo de producto > Botas, Género, Género > Mujer, Tipo de producto",Hunter,Hunter,
