ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
19096,variation,WFS1071RMA-NYG39,BOTINES HUNTER WFS1071R AZUL 4 - 39,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
19097,variation,WFS1071RMA-NYG40/41,BOTINES HUNTER WFS1071R AZUL 4 - 40/41,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
19098,variation,WFS1071RMA-NYG42,BOTINES HUNTER WFS1071R AZUL 4 - 42,77994,129990,1,,,Hunter,,WFS1071RMA-NYG,Botas mujer/hombre 40% off
19099,variation,WFS1071RMA-RDG36,BOTINES HUNTER WFS1071R ROJO 6 - 36,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19100,variation,WFS1071RMA-RDG37,BOTINES HUNTER WFS1071R ROJO 6 - 37,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19101,variation,WFS1071RMA-RDG38,BOTINES HUNTER WFS1071R ROJO 6 - 38,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19102,variation,WFS1071RMA-RDG39,BOTINES HUNTER WFS1071R ROJO 6 - 39,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19103,variation,WFS1071RMA-RDG40/41,BOTINES HUNTER WFS1071R ROJO 6 - 40/41,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19104,variation,WFS1071RMA-RDG42,BOTINES HUNTER WFS1071R ROJO 6 - 42,77994,129990,1,,,Hunter,,WFS1071RMA-RDG,Botas mujer/hombre 40% off
19127,variation,WFT1000RGL-RVI40/41,Botas Altas Y Brillantes Original Para Mujer Morada - 40/41,77994,129990,1,,,Hunter,,WFT1000RGL-RVI,Botas mujer/hombre 40% off
19141,variation,WFT1071RGL-BLK36,Botas Original Refined y Brillante Para Mujer Negro - 36,98994,164990,1,,,Hunter,,WFT1071RGL-BLK,Botas mujer/hombre 40% off
19142,variation,WFT1071RGL-BLK37,Botas Original Refined y Brillante Para Mujer Negro - 37,98994,164990,1,,,Hunter,,WFT1071RGL-BLK,Botas mujer/hombre 40% off
19143,variation,WFT1071RGL-BLK38,Botas Original Refined y Brillante Para Mujer Negro - 38,98994,164990,1,,,Hunter,,WFT1071RGL-BLK,Botas mujer/hombre 40% off
19144,variation,WFT1071RGL-BLK39,Botas Original Refined y Brillante Para Mujer Negro - 39,98994,164990,1,,,Hunter,,WFT1071RGL-BLK,Botas mujer/hombre 40% off
19145,variation,WFT1071RGL-BLK40/41,Botas Original Refined y Brillante Para Mujer Negro - 40/41,98994,164990,1,,,Hunter,,WFT1071RGL-BLK,Botas mujer/hombre 40% off
19156,variation,WFT2007EXL-OEX40/41,Botas Altas Original Play Con Logotipo Ampliado Para Mujer - 40/41,65400,109000,1,,,Hunter,,WFT2007EXL-OEX,Botas mujer/hombre 40% off
19168,variation,WFT2007RMA-LIH40/41,Botas De Agua Altas Original Play Para Mujer LIH - 40/41,53994,89990,1,,,Hunter,,WFT2007RMA-LIH,Botas mujer/hombre 40% off
19194,variation,WFT2052NRE-NVY37,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 37,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
19195,variation,WFT2052NRE-NVY38,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 38,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
19196,variation,WFT2052NRE-NVY39,Botas Estilo Sherpa Con Parte Superior Enrollable Original Azul Marino - 39,71400,119000,1,,,Hunter,,WFT2052NRE-NVY,Botas mujer/hombre 40% off
